City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Palu,ID,76.37,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
4,Port Moresby,PG,80.02,few clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
5,Bengkulu,ID,74.88,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
7,Phan Thiet,VN,77.14,overcast clouds,10.9333,108.1,Hotel Saigon-PT
9,Carnarvon,AU,76.41,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
12,San Policarpo,PH,79.77,overcast clouds,12.1791,125.5072,Agapita M. Nicart
14,Bandarbeyla,SO,75.58,few clouds,9.4942,50.8122,JABIR HOTEL
15,Omboue,GA,78.71,overcast clouds,-1.5746,9.2618,Hotel Olako
16,Yulara,AU,80.11,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
20,Avarua,CK,86.05,scattered clouds,-21.2078,-159.775,Paradise Inn
22,Rikitea,PF,79.66,clear sky,-23.1203,-134.9692,People ThankYou
23,Sao Miguel Do Araguaia,BR,75.74,overcast clouds,-13.275,-50.1628,Hotel Executivo Palace
24,Sao Joao Da Barra,BR,73.08,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
25,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
32,Kapaa,US,82.38,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
38,Dothan,US,74.44,broken clouds,31.2232,-85.3905,Courtyard by Marriott Dothan
47,Ambon,ID,78.94,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
50,San Patricio,US,83.16,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
51,Santa Cruz,BO,76.28,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
52,Arraial Do Cabo,BR,75.31,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
53,Odweyne,SO,73.63,few clouds,9.4092,45.06399999999999,Eng Hiirey House
57,Port Alfred,ZA,71.24,clear sky,-33.5906,26.891,The Halyards Hotel
58,Buala,SB,85.01,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
63,Mataura,NZ,70.05,scattered clouds,-46.1927,168.8643,Ellie's Villa
64,Oranjestad,AW,78.35,few clouds,12.524000000000001,-70.027,Divi Village Golf & Beach Resort
70,Tamale,GH,87.87,broken clouds,9.4008,-0.8393,Tap Hotel
72,Hualmay,PE,70.97,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
77,Butaritari,KI,80.28,light rain,3.0707,172.7902,Isles Sunset Lodge
82,Hilo,US,82.26,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
86,Lingao,CN,75.61,broken clouds,19.9103,109.6859,Lingao Ditai Inn
88,Hithadhoo,MV,83.5,broken clouds,-0.6,73.0833,Scoop Guest House
91,Vallenar,CL,73.26,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
93,Kahului,US,82.98,clear sky,20.8947,-156.47,Maui Seaside Hotel
94,Lumphat,KH,75.45,overcast clouds,13.4878,106.9816,Lumphat Homestay​ &​lake​side
95,Shorewood,US,71.58,clear sky,41.52,-88.2017,Wingate by Wyndham Joliet
98,Morro Bay,US,77.4,broken clouds,35.3658,-120.8499,Inn at Morro Bay
99,Kloulklubed,PW,82.89,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
100,Vila Velha,BR,72.95,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
105,Saint-Philippe,RE,78.39,moderate rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
110,Kavieng,PG,83.64,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
112,Ibotirama,BR,80.17,overcast clouds,-12.1853,-43.2206,Serra do Rio Hotel
114,Iracoubo,GF,76.37,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
115,Luwuk,ID,78.98,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
116,Hobyo,SO,77.54,few clouds,5.3505,48.5268,Iftin hotel hobyo
117,Nicoya,CR,89.04,overcast clouds,10.1483,-85.45200000000001,Las Cabinas Del Sueño
119,Cabo San Lucas,MX,78.62,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
121,Sao Miguel Do Iguacu,BR,71.92,clear sky,-25.3481,-54.2378,Hotel Itaguaçu
122,Cape Town,ZA,70.12,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
123,Bucerias,MX,81.79,broken clouds,20.75,-105.3333,Royal Decameron Complex - Puerto Vallarta
124,Maumere,ID,80.65,overcast clouds,-8.6199,122.2111,Sylvia Hotel
126,Salalah,OM,71.56,scattered clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
129,Souillac,MU,79.18,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
