City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Tasiilaq,GL,65.6145,-37.6368,6.96,55,0,4.85,clear sky
1,Hermanus,ZA,-34.4187,19.2345,69.8,87,3,11.21,clear sky
2,Punta Arenas,CL,-53.15,-70.9167,55.11,62,100,21.12,overcast clouds
3,Palu,ID,-0.8917,119.8707,76.37,94,100,2.55,overcast clouds
4,Port Moresby,PG,-9.4431,147.1797,80.02,83,20,5.75,few clouds
5,Bengkulu,ID,-3.8004,102.2655,74.88,87,90,4.59,overcast clouds
6,Albany,US,42.6001,-73.9662,48.58,40,55,11.99,broken clouds
7,Phan Thiet,VN,10.9333,108.1,77.14,83,90,4.56,overcast clouds
8,Tuktoyaktuk,CA,69.4541,-133.0374,-10.59,91,71,0.2,broken clouds
9,Carnarvon,AU,-24.8667,113.6333,76.41,69,99,19.28,overcast clouds
10,Ulladulla,AU,-35.35,150.4667,69.48,70,99,4.43,overcast clouds
11,Narsaq,GL,60.9167,-46.05,16.02,71,1,7.11,clear sky
12,San Policarpo,PH,12.1791,125.5072,79.77,86,100,6.4,overcast clouds
13,Mount Gambier,AU,-37.8333,140.7667,58.91,94,100,3.44,light rain
14,Bandarbeyla,SO,9.4942,50.8122,75.58,79,14,2.57,few clouds
15,Omboue,GA,-1.5746,9.2618,78.71,83,100,6.04,overcast clouds
16,Yulara,AU,-25.2406,130.9889,80.11,22,2,5.17,clear sky
17,Hauterive,FR,46.0901,3.4459,43.56,66,36,6.24,scattered clouds
18,Dakar,SN,14.6937,-17.4441,67.08,84,4,17.11,clear sky
19,Fenoarivo,MG,-18.933,47.4354,62.67,88,75,11.5,broken clouds
20,Avarua,CK,-21.2078,-159.775,86.05,70,40,20.71,scattered clouds
21,Trelew,AR,-43.249,-65.3051,66.54,45,95,5.37,overcast clouds
22,Rikitea,PF,-23.1203,-134.9692,79.66,68,3,14.58,clear sky
23,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,75.74,78,98,2.42,overcast clouds
24,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.08,81,100,16.37,overcast clouds
25,Georgetown,MY,5.4112,100.3354,80.53,78,20,2.3,few clouds
26,Saint George,US,37.1041,-113.5841,64.99,17,0,11.01,clear sky
27,Ushuaia,AR,-54.8,-68.3,47.1,89,98,7.02,light rain
28,Usevya,TZ,-7.1,31.2333,67.37,96,92,3.94,overcast clouds
29,Jamestown,US,42.097,-79.2353,49.95,39,100,5.75,overcast clouds
30,Los Llanos De Aridane,ES,28.6585,-17.9182,57.13,77,0,5.75,clear sky
31,Bara,NG,10.3744,10.7288,81.36,12,83,5.41,broken clouds
32,Kapaa,US,22.0752,-159.319,82.38,63,78,3.0,broken clouds
33,Visnes,NO,59.3556,5.2242,39.25,87,100,14.97,overcast clouds
34,Sao Filipe,CV,14.8961,-24.4956,69.96,74,16,10.98,few clouds
35,Bethel,US,41.3712,-73.414,56.75,37,68,11.05,broken clouds
36,Hobart,AU,-42.8794,147.3294,62.46,90,100,4.61,light rain
37,Vestmannaeyjar,IS,63.4427,-20.2734,44.94,92,100,18.75,light rain
